"IDalt","Buffer","MeanDist","MedianDist","NumLines","TotalLength_m","Notes"
4020,"20km",16574.9677249076,16158.1630608862,427,883146,"Full group used"
4021,"20km",16421.68764682,16028.0138604505,307,866552,"Full group used"
4026,"20km",16988.8560059085,16684.7386191027,250,885096,"Full group used"
4027,"20km",16988.8560059085,16684.7386191027,250,885096,"Full group used"
4028,"20km",16988.8560059085,16684.7386191027,250,885096,"Full group used"
4088,"20km",16574.9677249076,16158.1630608862,427,883146,"Full group used"
4116,"20km",17036.1122724864,16652.6194122794,269,816975,"Full group used"
4126,"20km",16421.68764682,16028.0138604505,307,866552,"Full group used"
4127,"20km",16421.68764682,16028.0138604505,307,866552,"Full group used"
4130,"20km",16988.8855757544,16684.7386191027,250,885096,"Full group used"
4131,"20km",16988.8855757544,16684.7386191027,250,885096,"Full group used"
4141,"20km",16601.273225598,16317.0015076154,264,852239,"Full group used"
4142,"20km",17727.0309552536,17337.2401827028,325,824573,"Full group used"
4165,"20km",17036.1122724864,16652.6194122794,269,816975,"Full group used"
4170,"20km",17008.9036885769,16800.7429702979,269,855894,"Full group used"
94,"20km",16021.7338517839,15616.8958925519,751,1349506,"Full group used"
3532,"20km",18014.0257505291,17793.545398503,992,1484152,"Full group used"
3533,"20km",18014.0257505291,17793.545398503,992,1484152,"Full group used"
3534,"20km",18014.0257505291,17793.545398503,992,1484152,"Full group used"
3535,"20km",18297.7589937309,18145.2017540586,990,1458691,"Full group used"
3536,"20km",18297.7589937309,18145.2017540586,990,1458691,"Full group used"
3537,"20km",18297.7589937309,18145.2017540586,990,1458691,"Full group used"
3592,"20km",18016.797565789,17798.5440281501,992,1482485,"Full group used"
3612,"20km",17362.4303354282,17008.4503973933,868,1412122,"Full group used"
3615,"20km",18312.2616089422,18161.91205647,992,1459197,"Full group used"
4037,"20km",17180.0160542383,16973.6475275238,268,882168,"Full group used"
4038,"20km",17180.0160542383,16973.6475275238,268,882168,"Full group used"
4072,"20km",17180.0160542383,16973.6475275238,268,882168,"Full group used"
4073,"20km",17180.0160542383,16973.6475275238,268,882168,"Full group used"
4074,"20km",17180.0160542383,16973.6475275238,268,882168,"Full group used"
4083,"20km",17375.0727452696,17123.4063060836,276,896592,"Full group used"
4084,"20km",17375.0727452696,17123.4063060836,276,896592,"Full group used"
4143,"20km",16375.1874688743,15712.6014105467,484,1029456,"Full group used"
4154,"20km",16048.6577156911,15613.02819929,700,1274821,"Full group used"
4168,"20km",17375.0727452696,17123.4063060836,276,896592,"Full group used"
755,"20km",16008.3978727641,15521.4378985483,308,873083,"Full group used"
2064,"20km",16981.2328288046,16762.9816325254,328,867769,"Full group used"
4036,"20km",17209.4873212368,16905.0188430835,256,859220,"Full group used"
4041,"20km",17185.9655487096,16893.9535570352,341,940583,"Full group used"
4049,"20km",17377.1500055073,17057.9037038539,311,882270,"Full group used"
4103,"20km",17377.1554948649,17057.9037038539,311,882270,"Full group used"
4104,"20km",17377.1554948649,17057.9037038539,311,882270,"Full group used"
4105,"20km",17377.1554948649,17057.9037038539,311,882270,"Full group used"
4122,"20km",16305.0870141888,16022.4520048593,301,898382,"Full group used"
4123,"20km",17209.4547718319,16905.0188430835,256,859220,"Full group used"
4124,"20km",17209.4547718319,16905.0188430835,256,859220,"Full group used"
4125,"20km",17209.4547718319,16905.0188430835,256,859220,"Full group used"
4132,"20km",17185.9670003821,16893.9535570352,341,940583,"Full group used"
4136,"20km",16685.7027645793,16410.765943937,304,910171,"Full group used"
4155,"20km",17227.7824049172,16997.0042905453,297,855205,"Full group used"
4164,"20km",17385.6424606384,17379.4229988681,357,950304,"Full group used"
4171,"20km",16379.4858303378,15955.2370941576,318,832729,"Full group used"
57,"20km",17350.4949079534,17075.647058579,822,1304102,"Full group used"
446,"20km",15058.0717601178,14415.9303055614,561,1025133,"Full group used"
573,"20km",16951.6860504616,16778.9187275993,186,590440,"Full group used"
998,"20km",16935.7858419459,16450.9749539021,182,784750,"Full group used"
2535,"20km",17131.7786391838,16779.0285487822,134,677896,"Full group used"
4114,"20km",15170.3105813662,14157.776516101,478,936258,"Full group used"
4115,"20km",15170.3105813662,14157.776516101,478,936258,"Full group used"
989,"20km",17076.09995041,16915.0137763805,323,772759,"Full group used"
2645,"20km",17076.09995041,16915.0137763805,323,772759,"Full group used"
2720,"20km",17305.2322156115,16869.0511132222,647,1185297,"Full group used"
4031,"20km",16881.4098858589,16550.4017961575,340,879915,"Full group used"
4032,"20km",16881.4098858589,16550.4017961575,340,879915,"Full group used"
4039,"20km",17657.5488157829,17515.675716348,365,892309,"Full group used"
4040,"20km",17657.5488157829,17515.675716348,365,892309,"Full group used"
4095,"20km",17657.5536601426,17515.675716348,365,892309,"Full group used"
4102,"20km",17818.6678648933,17264.9334274672,690,1214369,"Full group used"
4128,"20km",17821.3787808003,17394.8945638927,709,1209564,"Full group used"
4129,"20km",17821.3787808003,17394.8945638927,709,1209564,"Full group used"
4149,"20km",16030.834717254,15458.1755636288,470,927274,"Full group used"
4152,"20km",15603.3591720212,15090.6525380105,503,982176,"Full group used"
78,"20km",17665.1842003141,17627.3051996562,653,1060205,"Full group used"
93,"20km",17665.1842003141,17627.3051996562,653,1060205,"Full group used"
566,"20km",16423.1417614209,16256.2219675683,205,642602,"Full group used"
2207,"20km",17665.1842003141,17627.3051996562,653,1060205,"Full group used"
3544,"20km",18273.968129571,18080.151608913,188,678756,"Full group used"
3545,"20km",18273.968129571,18080.151608913,188,678756,"Full group used"
3546,"20km",18273.968129571,18080.151608913,188,678756,"Full group used"
3547,"20km",18273.968129571,18080.151608913,188,678756,"Full group used"
3550,"20km",16006.1147850003,15663.3065131752,168,643351,"Full group used"
3551,"20km",16006.1147850003,15663.3065131752,168,643351,"Full group used"
3589,"20km",15469.6240857315,14669.950531774,713,1161600,"Full group used"
3610,"20km",16158.8027353743,15841.1637367277,171,650373,"Full group used"
3611,"20km",16158.8027353743,15841.1637367277,171,650373,"Full group used"
3632,"20km",18244.2150868285,18055.5907667112,187,676988,"Full group used"
3633,"20km",18244.2150868285,18055.5907667112,187,676988,"Full group used"
3634,"20km",18244.2150868285,18055.5907667112,187,676988,"Full group used"
3635,"20km",15469.6240857315,14669.950531774,713,1161600,"Full group used"
4048,"20km",17202.0579444465,16779.649990754,880,1633266,"Full group used"
4077,"20km",17202.0579444465,16779.649990754,880,1633266,"Full group used"
4078,"20km",17202.0579444465,16779.649990754,880,1633266,"Full group used"
4140,"20km",17201.9754273735,16841.4504418574,911,1611740,"Full group used"
4158,"20km",16943.3369831534,16615.3306287504,1000,1657989,"Sampled 1000 of 1075"
2704,"20km",16908.9312445624,16355.4390481246,373,885101,"Full group used"
4044,"20km",16391.1365392919,15906.4959585247,492,958201,"Full group used"
4045,"20km",16391.1365392919,15906.4959585247,492,958201,"Full group used"
4046,"20km",15863.7355588154,15327.3372860346,855,1409471,"Full group used"
4050,"20km",16327.7870019724,15625.4757358062,464,995870,"Full group used"
4051,"20km",16327.7870019724,15625.4757358062,464,995870,"Full group used"
4082,"20km",17318.6396562707,16952.955797111,221,720104,"Full group used"
4089,"20km",16391.1365392919,15906.4959585247,492,958201,"Full group used"
4090,"20km",16391.1365392919,15906.4959585247,492,958201,"Full group used"
4097,"20km",15863.7447918136,15327.3372860346,855,1409471,"Full group used"
4098,"20km",15863.7447918136,15327.3372860346,855,1409471,"Full group used"
4099,"20km",15863.7447918136,15327.3372860346,855,1409471,"Full group used"
4100,"20km",15863.7447918136,15327.3372860346,855,1409471,"Full group used"
4109,"20km",16327.7953767097,15625.4757358062,464,995870,"Full group used"
4110,"20km",16327.7953767097,15625.4757358062,464,995870,"Full group used"
4111,"20km",16327.7953767097,15625.4757358062,464,995870,"Full group used"
4146,"20km",15804.7792712528,15123.8335115688,758,1278766,"Full group used"
4156,"20km",17569.9051591211,17380.7786955288,280,776083,"Full group used"
4157,"20km",16847.4075611553,16502.827874899,1000,1632701,"Sampled 1000 of 1069"
